id,time,position_x,position_y
1,1,229,355
1,2,331,276
1,3,331,274
1,4,335,272
1,5,338,273
1,6,338,277
1,7,341,281
1,8,341,281
1,9,341,284
1,10,479,454
1,11,485,458
1,12,487,461
1,13,487,461
1,14,790,533
1,15,792,532
1,16,796,532
1,17,802,532
1,18,803,531
1,19,929,494
1,20,931,493
1,21,931,492
1,22,932,492
1,23,935,492
1,24,935,496
1,25,931,496
1,26,929,496
1,27,929,496
1,28,928,495
1,29,929,493
1,30,932,492
1,31,933,492
1,32,933,493
1,33,932,494
1,34,931,493
1,35,931,492
1,36,830,357
1,37,829,356
1,38,828,356
1,39,826,356
1,40,830,356
1,41,831,356
1,42,832,356
1,43,630,258
1,44,628,262
1,45,509,216
1,46,685,408
1,47,691,411
1,48,686,411
1,49,681,412
1,50,685,412
1,51,688,413
1,52,623,577
